Nombre Entidad,Nit Entidad,Departamento,Ciudad,Localización,Orden,Sector,Rama,Entidad Centralizada,Proceso de Compra,ID Contrato,Referencia del Contrato,Estado Contrato,Codigo de Categoria Principal,Descripcion del Proceso,Tipo de Contrato,Modalidad de Contratacion,Justificacion Modalidad de Contratacion,Fecha de Firma,Fecha de Inicio del Contrato,Fecha de Fin del Contrato,Fecha de Inicio de Ejecucion,Fecha de Fin de Ejecucion,Condiciones de Entrega,TipoDocProveedor,Documento Proveedor,Proveedor Adjudicado,Es Grupo,Es Pyme,Habilita Pago Adelantado,Liquidación,Obligación Ambiental,Obligaciones Postconsumo,Reversion,Valor del Contrato,Valor de pago adelantado,Valor Facturado,Valor Pendiente de Pago,Valor Pagado,Valor Amortizado,Valor Pendiente de Amortizacion,Valor Pendiente de Ejecucion,Estado BPIN,Código BPIN,Anno BPIN,Saldo CDP,Saldo Vigencia,EsPostConflicto,URLProceso,Destino Gasto,Origen de los Recursos,Dias Adicionados,Puntos del Acuerdo,Pilares del Acuerdo,Nombre Representante Legal,Nacionalidad Representante Legal,Tipo de Identificación Representante Legal,Identificación Representante Legal,Género Representante Legal,Presupuesto General de la Nacion – PGN,Sistema General de Participaciones,Sistema General de Regalías,"Recursos Propios (Alcaldías, Gobernaciones y Resguardos Indígenas)",Recursos de Credito,Recursos Propios,Ultima Actualizacion,Codigo Entidad,Fecha Inicio Liquidacion,Fecha Fin Liquidacion,Codigo Proveedor,Objeto del Contrato
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4675214,CCE-139-IAD -2020-85,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/14/2023,03/06/2023,04/24/2023,03/02/2023,04/24/2023,A convenir,No Definido,830147140,POINTMIND SAS,No,Si,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,Sin Descripcion,Sin Descripcion,Sin Descripcion,Sin Descripcion,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,700113046,Establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4675416,CCE-139-IAD-2020-86,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/14/2023,03/06/2023,04/24/2023,03/06/2023,04/24/2023,A convenir,No Definido,8600347147,Procalculo Prosis SAS,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,FELIPE TRUJILLO GUTIERREZ,COLOMBIANAO,Sin Descripcion,79793681,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,700009046,establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4734337,CCE-139-IAD-2020-87,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/14/2023,03/06/2023,04/24/2023,03/06/2023,04/24/2023,A convenir,No Definido,8301339805,AXENTRIA CONSULTING GROUP SAS,No,Si,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,VALENCIA ORTIZ ROBERTO,COLOMBIANO,Sin Descripcion,79310127,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,704187285,establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4736966,CCE-139-IAD-2020-91,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/14/2023,03/07/2023,04/24/2023,03/07/2023,04/24/2023,A convenir,No Definido,860045379,COMWARE SA,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,LUIS ALBERTO BOCANEGRA CLAVIJO,Colombiana,Sin Descripcion,14225485,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,700145022,establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4736355,CCE-139-IAD-2020-88,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/14/2023,03/07/2023,04/24/2023,03/07/2023,04/24/2023,A convenir,No Definido,900718336,High tech Software SAS,No,Si,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,Andres Barrantes Bernal,Colombiano,Sin Descripcion,80119497,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,701922197,establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4736296,CCE-139-IAD-2020-89,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/14/2023,03/07/2023,04/24/2023,03/07/2023,04/24/2023,A convenir,No Definido,900372035,ITO SOFTWARE SAS,No,Si,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,MAURICIO ALEXANDER HERRAN PAIPILLA,Sin Descripcion,Sin Descripcion,Sin Descripcion,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,700003049,establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4736696,CCE-139-IAD-2020-93,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/14/2023,03/07/2023,04/24/2023,03/07/2023,04/24/2023,A convenir,No Definido,900529191,TAK COLOMBIA,No,Si,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,Carlos Ivan Gaona Duran,Colombiano,Sin Descripcion,80927503,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,704873231,establecer ilas condiciones para la adquisición de Software por Catálogo al Amparo del Instrumento de Agregación de Demandaiilas condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iiilas Condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculadosivlas condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y vlas condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4736943,CCE-139-IAD-2020-90,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/14/2023,03/07/2023,04/24/2023,03/07/2023,04/24/2023,A convenir,No Definido,830060020,GLOBAL TECHNOLOGY SERVICES GTS SA,No,Si,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,MARCO ANTONIO BARON,COLOMBIANO,Sin Descripcion,79556616,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,700079072,establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4756068,CCE-139-IAD -2020-94,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/31/2023,03/10/2023,04/24/2023,03/10/2023,04/24/2023,A convenir,No Definido,901373456,UT SoftIG3,Si,No,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,Jose Luis Rodriguez Catellanos,Colombia,Sin Descripcion,80932801,No Definido,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,700135023,Establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,"Colombia, Bogotá, Bogotá",Nacional,Planeación,Ejecutivo,No Definido,CO1.BDOS.1068184,CO1.PCCNTR.4802024,CCE-139-IAD-2020-95,Activo,V1.43231500,Establecer i condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii condiciones para la adquisición de Software por Catálogo por parte d,Otro,Contratación directa,ContratosConveniosInteradministrativosValorCero,03/31/2023,03/24/2023,04/24/2023,03/24/2023,04/24/2023,A convenir,No Definido,901389422,SGSKANNIA TECHNOLOGY SAS,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,Válido,No Definido,2023,0,0,No,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1067896&isFromPublicArea=True&isModal=true&asPopupView=true,Funcionamiento,Distribuido,0,No aplica,No aplica,CARLOS FERNANDO SARMIENTO TARAZONA,COLOMBIANA,Cédula de Ciudadanía,91291002,Hombre,0,0,0,0,0,0,04/21/2023 12:00:00 AM,700037070,,,711652545,establecer i las condiciones para la adquisición de Software por Catálogo al amparo del Instrumento de Agregación de Demanda ii las condiciones en las cuales las Entidades Compradoras se vinculan al Instrumento de Agregación de Demanda iii las condiciones para la adquisición de Software por Catálogo por parte de los Proveedores vinculados iv las condiciones para la adquisición de Software por Catálogo por parte de la Entidad Compradora y v las condiciones para el pago del Software
